Region,region_bp,bg_fraction,quadruplex_count,quadruplex_fraction,quadruplex_enrichment_vs_bg,zhunt_count,zhunt_fraction,zhunt_enrichment_vs_bg,zdnabert_count,zdnabert_fraction,zdnabert_enrichment_vs_bg
Exons,43445182,0.110806,128,0.1117,1.01,689,0.1233,1.11,983,0.0479,0.43
Introns,170842474,0.435731,448,0.3909,0.9,2666,0.4769,1.09,8918,0.4348,1.0
Promoters,9111355,0.023238,26,0.0227,0.98,104,0.0186,0.8,402,0.0196,0.84
Downstream,1809508,0.004615,12,0.0105,2.27,34,0.0061,1.32,79,0.0039,0.83
Intergenic,177794493,0.453462,572,0.4991,1.1,2322,0.4154,0.92,10619,0.5177,1.14
